UID,Title,DOI,Keywords
WOS:001220173300001,Accessibility and Ease of Use in Neuromodulation Devices,10.1016/j.neurom.2023.03.003,"('PREVALENCE', 'DESIGN', 'Medicine, Research & Experimental', 'Clinical Neurology', 'Research & Experimental Medicine', 'Neurosciences & Neurology', 'Accessible design', 'disability', 'medical devices', 'neuromodulation', 'universal design')"
WOS:001153065200001,The Absent Dimension: Anti-Racism in Mbark Ben Zayda's Amazigh Poetics,10.1017/rms.2023.24,"('Area Studies', 'Area Studies', 'Amazigh', 'poetry', 'Ben Zayda', 'race', 'racism', 'performance')"
WOS:001203068900001,High-flux ceramic membrane derived from UV-curable slurry for efficient separation of nanoparticles suspension,ARTN 122331,"('SIO2-ZRO2 NANOFILTRATION MEMBRANES', 'HOLLOW-FIBER MEMBRANE', 'DIP-COATING METHOD', 'OXIDE FUEL-CELLS', 'MICROFILTRATION MEMBRANE', 'ALUMINA MEMBRANES', 'WASTE-WATER', 'FABRICATION', 'PERFORMANCE', 'Engineering, Chemical', 'Engineering', 'Ceramic membrane', 'Nanoparticles suspension', 'Separation', 'UV-curable', 'Co-sintering')"
WOS:001193699100003,Near-infrared Stokes spectropolarimetry of fusion-related toroidal plasmas,10.1007/s41614-022-00098-w,"('ZEEMAN PATTERNS', 'DIAGNOSTICS', 'DEUTERIUM', 'TOKAMAK', 'ITER', 'EDGE', 'SPECTROSCOPY', 'TEMPERATURE', 'REFLECTION', 'RADIATION', 'Physics, Fluids & Plasmas', 'Physics', 'Nuclear fusion', 'SOL', 'Divertor', 'Near-infrared spectroscopy', 'Polarimetry', 'Stokes parameters', 'Zeeman effect', 'Magnetic field', 'Inversion', 'Heliotron J')"
WOS:001193699100027,Describing local and non-local electron heating by the Fokker-Planck equation,10.1007/s41614-022-00086-0,"('BOLTZMANN-EQUATION', 'ENERGY-DISTRIBUTION', 'PLASMA', 'KINETICS', 'GAS', 'SIMULATION', 'PENETRATION', 'TRANSPORT', 'MODEL', 'TERM', 'Physics, Fluids & Plasmas', 'Physics', 'Stochastic heating', 'Non-local electron distribution function', 'Fokker-Planck equation', 'Kinetic theory')"
WOS:001193699100040,Production of polarized particle beams via ultraintense laser pulses,10.1007/s41614-022-00099-9,"('NONLINEAR COMPTON-SCATTERING', 'MEV GAMMA-RAYS', 'PAIR PRODUCTION', 'ELECTROMAGNETIC-WAVE', 'INTENSE FIELD', 'SPIN', 'ELECTRON', 'PHOTON', 'EMISSION', 'PHYSICS', 'Physics, Fluids & Plasmas', 'Physics', 'Strong-field QED', 'Nonlinear Compton scattering', 'Nonlinear Breit-Wheeler pairs', 'Quantum Monte-Carlo simulations', 'Particle-in-cell simulations')"
WOS:001193699100020,Radical-controlled plasma processes,10.1007/s41614-022-00084-2,"('ATOMIC LAYER DEPOSITION', 'FLUOROCARBON FILM FORMATION', 'CYCLOTRON-RESONANCE PLASMA', 'LASER-INDUCED-FLUORESCENCE', 'CHEMICAL-VAPOR-DEPOSITION', 'LOW-TEMPERATURE PLASMA', 'A-SI-H', 'HIGH-DENSITY', 'SURFACE-REACTIONS', 'WAFER TEMPERATURE', 'Physics, Fluids & Plasmas', 'Physics', 'Low-temperature plasma science', 'Radical', 'Plasma material science', 'Plasma medicine', 'Plasma agriculture')"
WOS:001193699100008,Acoustic waves in the Jovian dusty magnetosphere: a brief review and meta-analysis,10.1007/s41614-022-00101-4,"('JUPITERS MAGNETOSPHERE', 'PLASMA', 'EQUATION', 'RADIO', 'WHISTLER', 'SOLITARY', 'SOLITONS', 'COULOMB', 'AURORAE', 'SHOCKS', 'Physics, Fluids & Plasmas', 'Physics', 'Jupiter', 'Jovian magnetosphere', 'Jovian plasmas', 'Acoustic waves')"
WOS:001193699100039,Nonlinear dynamics in space plasma turbulence: temporal stochastic chaos,10.1007/s41614-022-00095-z,"('MAGNETIC-FIELD TURBULENCE', 'SELF-ORGANIZED CRITICALITY', 'PERMUTATION ENTROPY ANALYSIS', 'UNIVERSAL SCALING LAWS', 'MULTIFRACTAL STRUCTURE', 'RECONNECTION', 'DRIVEN', 'INTERMITTENCY', 'SYSTEMS', 'FLUCTUATIONS', 'Physics, Fluids & Plasmas', 'Physics', 'Plasma', 'Chaos', 'Complexity', 'Turbulence', 'Sun', 'Solar wind')"
WOS:001193699100032,Driven nonlinear structures in flowing dusty plasmas,10.1007/s41614-022-00091-3,"('ACOUSTIC-WAVES', 'UPSTREAM', 'Physics, Fluids & Plasmas', 'Physics', 'Dusty plasma', 'Solitons', 'Precursors', 'Dust flow')"
