Manuscript_number,DOI,funder,name,fundref
ac-2022-04416z,10.1021/acs.analchem.2c04416,grid.457810.f,Directorate for Engineering,
ac-2022-04416z,10.1021/acs.analchem.2c04416,grid.457875.c,Directorate for Mathematical & Physical Sciences,
ac-2023-00122w,,,,
ac-2023-00835f,,,,
ac-2023-00836b,,,,
ac-2023-008372,,,,
ac-2023-00838h,,,,
ae-2023-00490u,,,,
ae-2023-00511j,,,,
ae-2023-005128,,,,
am-2022-19449c,10.1021/acsami.2c19449,grid.419696.5,National Natural Science Foundation of China,501100001809
am-2022-20088n,10.1021/acsami.2c20088,grid.419696.5,National Natural Science Foundation of China,501100001809
am-2022-20798c,10.1021/acsami.2c20798,,,
am-2022-22347b,,,,
am-2022-23234u,10.1021/acsami.2c23234,grid.453547.4,Jiangsu Provincial Department of Education,501100007166
am-2022-23234u,10.1021/acsami.2c23234,grid.419696.5,National Natural Science Foundation of China,501100001809
am-2023-00053m,,,,
am-2023-000835,,,,
am-2023-000847,,,,
am-2023-000863,,,,
am-2023-00087g,10.1021/acsami.3c00087,,,
am-2023-00088k,,,,
am-2023-001059,,,,
am-2023-00108a,,,,
am-2023-001109,,,,
am-2023-00181g,,,,
am-2023-00183t,10.1021/acsami.3c00183,grid.488584.d,Alberta Innovates,501100000146
am-2023-00183t,10.1021/acsami.3c00183,grid.452912.9,Natural Sciences and Engineering Research Council,501100000038
am-2023-00187h,,,,
am-2023-00196y,,,,
am-2023-00198m,,,,
am-2023-002005,,,,
am-2023-00204g,,,,
am-2023-00208b,,,,
am-2023-00211t,,,,
am-2023-00213b,10.1021/acsami.3c00213,grid.419696.5,National Natural Science Foundation of China,501100001809
am-2023-00213b,10.1021/acsami.3c00213,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
am-2023-00215h,,,,
am-2023-00220h,,,,
am-2023-00223n,,,,
am-2023-00224y,,,,
am-2023-00228z,,,,
am-2023-00234w,,,,
am-2023-00236r,,,,
am-2023-00237j,,,,
am-2023-00239u,,,,
am-2023-002406,,,,
am-2023-00241r,,,,
am-2023-00242j,,,,
am-2023-002438,,,,
am-2023-00245s,,,,
am-2023-00246p,,,,
am-2023-00248x,,,,
am-2023-00249c,,,,
am-2023-00250s,10.1021/acsami.3c00250,,,
am-2023-00251p,,,,
am-2023-00253x,,,,
am-2023-002559,,,,
am-2023-002577,,,,
am-2023-00258a,,,,
am-2023-002609,,,,
am-2023-00263a,10.1021/acsami.3c00263,grid.419696.5,National Natural Science Foundation of China,501100001809
am-2023-00263a,10.1021/acsami.3c00263,grid.453034.5,China Postdoctoral Science Foundation,501100002858
am-2023-002643,,,,
am-2023-00265g,,,,
am-2023-00266k,10.1021/acsami.3c00266,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
am-2023-00266k,10.1021/acsami.3c00266,grid.419696.5,National Natural Science Foundation of China,501100001809
am-2023-00266k,10.1021/acsami.3c00266,grid.9227.e,Chinese Academy of Sciences,501100002367
am-2023-00266k,10.1021/acsami.3c00266,grid.453197.d,Youth Innovation Promotion Association,
am-2023-00266k,10.1021/acsami.3c00266,grid.454741.7,Guangdong Science and Technology Department,501100007162
am-2023-00267t,,,,
am-2023-00268f,10.1021/acsami.3c00268,grid.419696.5,National Natural Science Foundation of China,501100001809
am-2023-00268f,10.1021/acsami.3c00268,grid.453034.5,China Postdoctoral Science Foundation,501100002858
am-2023-00269b,,,,
am-2023-00271k,,,,
am-2023-00274b,10.1021/acsami.3c00274,,,
am-2023-002752,,,,
am-2023-00276h,,,,
am-2023-002774,,,,
am-2023-00278d,,,,
am-2023-00279n,,,,
am-2023-002802,,,,
am-2023-00281h,,,,
am-2023-002824,,,,
am-2023-00284n,,,,
am-2023-00287m,,,,
am-2023-00288v,,,,
am-2023-00289z,,,,
am-2023-00290y,,,,
am-2023-00291q,,,,
am-2023-00292m,10.1021/acsami.3c00292,grid.454838.6,China Association for Science and Technology,
